#,Emoticon,Meaning,Votes
0,12x--<--@,A dozen roses,300.0
1,O(<>'<>)O,Aang,320.0
2,=|:-)=,Abraham Lincoln,260.0
3,ε=(☉_☉),Accidental farting,250.0
4,[:||||||||||||:],Accordion,400.0
5,:%),Accountant,400.0
6,?:^[],Ace Ventura,400.0
7,:%)%,Acne,300.0
8,):=ı,Adolf Hitler,300.0
9,8-[,Afraid,400.0
10,-|--',Airplane,233.0
11,:-o,Alarmed,200.0
12,c|B-),Ali G,400.0
13,(<>..<>),Alien,180.0
14,">*^,^,^~~~",Alligator,200.0
15,0:),Angel,133.0
16,ლ(ಠ益ಠ)ლ,Anger,168.0
17,ヽ(｀⌒´メ)ノ,Angry,185.0
18,^w^,Anime Smile,240.0
19,-_-;,Anime Sweat Drop,167.0
20,"(¬_¬"")",Annoyed,132.0
21,:42:,Answer to Everything,200.0
22,"-o,,o,,o'",Ant,267.0
23,>: o,Antelope,225.0
24,(⊃‿⊂),Anticipation,167.0
25,m(_)m,Apology,300.0
26,(^^)//,Applause,250.0
27,0-+,April,250.0
28,>A<,Archangel,250.0
29,|  _O__ |  |_|o-o=>  | | | _| |_|,Archer,500.0
30,( `_)乂(_' ),Arm wrestle,200.0
31,<')))~,Armadillo,200.0
32,",,\(o3o)/,,",Armpit Hair,300.0
33,<---<<<,Arrow,167.0
34,(B-I=,Art Critic,400.0
35,(；一_一),Ashamed,180.0
36,<|-),Asian,400.0
37,|-I,Asleep,400.0
38,(0)-<-<,Astronaut,300.0
39,~X(,At Wits End,300.0
40,(⌒ ͜ʖ⌒)b,Attentive,250.0
41,X:-),Aunt Jemima,400.0
42,(au),Auto,400.0
43,o.e,Awkward,317.0
44,:=8),Baboon,200.0
45,~O><,Baby,200.0
46,༼ঢ_㇁ঢ༽,Bad hair day,233.0
47,=.=,Bad Idea,400.0
48,(8-),Bald,300.0
49,:-)-S=~,Ballerina,400.0
50,o~,Balloon,375.0
51,Q_Q_Q_,Balloons,500.0
52,((,Banana,200.0
53,(::[]::),Band-Aid,225.0
54,(:::X:::),Band-aid,333.0
55,(bandit),Bandit,250.0
56,(banghead),Banging Head on Wall,250.0
57,~'v,Bangs,400.0
58,:-%,Banker,250.0
59,（　＾）／占~~~,Banksy,300.0
60,:-C~,Barfing,300.0
61,o > o >,Baring Teeth,200.0
62,"^^^^^^^ | | | O O| c ,___| | ]",Bart Simpson,240.0
63,>--<(:p,Baseball Hat,500.0
64,d:-),Baseball Player,200.0
65,(^+.+^),Bat,157.0
66,\＿(´▽｀)♪＿/,Bathtub,300.0
67,B-|,Batman,200.0
68,;;),Batting Eyelashes,300.0
69,ಥ_ಥ,Bawling,200.0
70,(brb),Be Right Back,300.0
71,"o o ( *.* ) ("") ("") ( O ) ("") ("")",Bear,150.0
72,(ó㉨ò),Bear cub,200.0
73,:)#,Beard,300.0
74,o/ ___o..,Beat Up,333.0
75,b-),Beat up,450.0
76,(#_#),Beaten Up,125.0
77,: =,Beaver,400.0
78,0___,Bed,200.0
79,X:-|,Bed Head,400.0
80,( ) :(III)- ( ),Bee,275.0
81,└@(･ｪ･)@┐,Beefcake,300.0
82,(ii)D,Beer,450.0
83,(_)3,Beer Mug,260.0
84,m(-_-)m,Begging,500.0
85,^(:)v,Being Well Doing Good,300.0
86,::::[||]::::,Belt,400.0
87,⨌⨀_⨀⨌,Benjamin Franklin,300.0
88,OTL,Bent Over,433.0
89,└(^o^ )Ｘ( ^o^)┘,Best buddies,250.0
90,（　＾＾）人（＾＾　）,Best Buds,200.0
91,&:-o-8-<,Betty Boop,200.0
92,o_0,Bewildered,400.0
93,_______ | | | HOLY | | BIBLE | | | |_______|,Bible,250.0
94,(*)/ (*),Bicycle,200.0
95,:D,Big Grin,156.0
96,>:D<,Big Hug,200.0
97,8|___),Big Laugh,400.0
98,:-(|),Big Lips,300.0
99,(|X0||),Big Mac,200.0
100,<(:?),Big-Nosed Dunce,300.0
101,o=>,Billy,400.0
102,:^) ~ )^:,Bipolar,400.0
103,( •)> <'_/,Bird,133.0
104,(^),Birthday Cake,200.0
105,*<:),Birthday Hat,300.0
106,<>:-),Bishop,300.0
107,:*x,Biting,300.0
108,:-s,Bizzare Comment,500.0
109,(:-D,Blabber Mouth,300.0
110,?-(,Black Eye,200.0
111,?(,Black eye,400.0
112,(bah),Black Sheep,267.0
113,'8^P,Blah,333.0
114,|-(,Blind,300.0
115,#-),Blinking,150.0
116,^^,Blissful,300.0
117,(@)/(@),Bloodshot Eyes,400.0
118,∋(°O°)∈,Blowfish,233.0
119,(-□-)︵*,Blowing a Kiss,250.0
120,*8=(:,Blubbering,500.0
121,>//<,Blushing,162.0
122,c-----7,Boat,467.0
123,@=,Bomb,200.0
124,ヽ(⌐■_■)ノ♪♬,Boogie down,220.0
125,ヾ(｀ε´)ﾉ,Booing,377.0
126,:/,Bored,275.0
127,(•_¤),Borg,250.0
128,<( ･ｪ-)<},Bow and Arrow,200.0
129,:-)x,Bow Tie,200.0
130,m(_ _)m,Bowing,200.0
131,(||),Bowl,400.0
132,＝( ^o^)ノ___ｏ,Bowling,150.0
133,o(^_-)O,Boxer,250.0
134,Q(''q) Q(''Q),Boxing,300.0
135,(9'.')9 (9'.')-o,Boxing Kirby,400.0
136,(:-),Boy,300.0
137,:-#,Braces,100.0
138,%-6,Brain Dead,267.0
139,[<O>],Brazilian Flag,250.0
140,ʕʔ,Bread,200.0
141,>:/,Bring it On,200.0
142,(ó ì_í)=óò=(ì_í ò),Bro Pound,175.0
143,%-(,Broken Glasses,300.0
144,<~3,Broken Heart,167.0
145,^ ○ ^,Bubbly Girl,400.0
146,:-(=),Buckteeth,400.0
147,:B,Bucktooth,300.0
148,(*^o^)人(^o^*),Buddies,143.0
149,=:),Bug,400.0
150,E=B,Bugs Bunny,300.0
151,3:(:),Bull,250.0
152,[O==O\=<(,Bulldozer,450.0
153,=;-(,Bully,300.0
154,(╯_╰),Bummed out,300.0
155,(\_/) (0.0)  (___)!,Bunny,171.0
156,(\_/),Bunny Ears,233.0
157,#-(,Bureaucrat,400.0
158,[=₀==₀],Bus,450.0
159,:-)<////>,Businessman,300.0
160,ლ(ಠ益ಠლ),But At What Cost,147.0
161,(_|_),Butt,167.0
162,Ƹ̵̡Ӝ̵̨̄Ʒ,Butterfly,135.0
163,",,,,, _|||||_ {~*~*~*~} _{*~*~*~*}_ `-----------`",Cake,162.0
164,(call),Call,400.0
165,:-c,Call Me,300.0
166,~M',Camel,300.0
167,(p),Camera,233.0
168,|C|,Can of Coke,400.0
169,|P|,Can of Pepsi,500.0
170,~=,Candle,225.0
171,>(///)<,Candy,267.0
172,P=\\,Cap,300.0
